page,line_index,matched_patterns,line,context
3,11,portfolio,Archegos’s Portfolio in 2017 ....................................................... 65,Changes to Archegos’s Trading Profile (2017–2019) ........................... 65 | 1. | Archegos’s Portfolio in 2017 ....................................................... 65 | 2. | Archegos’s Portfolio in 2018 ....................................................... 67
3,13,portfolio,Archegos’s Portfolio in 2018 ....................................................... 67,Archegos’s Portfolio in 2017 ....................................................... 65 | 2. | Archegos’s Portfolio in 2018 ....................................................... 67 | 3. | Archegos’s Portfolio in 2019 and Changes to Swap
3,15,portfolio; swap,Archegos’s Portfolio in 2019 and Changes to Swap,Archegos’s Portfolio in 2018 ....................................................... 67 | 3. | Archegos’s Portfolio in 2019 and Changes to Swap | Margins ......................................................................................... 69 | D.
3,20,portfolio,Archegos’s Portfolio Becomes Significantly Long-Biased ....... 74,Mounting Red Flags (2020) ..................................................................... 73 | 1. | Archegos’s Portfolio Becomes Significantly Long-Biased ....... 74 | 2. | Archegos Continually Breaches PE and Scenario Limits ........ 77
3,32,dynamic margin,Dynamic Margining in Prime Financing ................................. 101,Counterparty Risk ....................................................................... 96 | 6. | Dynamic Margining in Prime Financing ................................. 101 | E. | Extreme Appreciation and then the Crash (2021) .............................. 103
3,45,portfolio,"Archegos’s Portfolio Collapses the Week of March 22,","Nothing Changes After Archegos is Discussed at CPOC ....... 120 | 5. | Archegos’s Portfolio Collapses the Week of March 22, | 2021 ............................................................................................. 122 | 6."
3,56,portfolio,Magnitude of the Risks Posed by Archegos’s Portfolio. .................... 130,A. | The Business Failed to Understand and Appreciate the | Magnitude of the Risks Posed by Archegos’s Portfolio. .................... 130 | 1. | Concentration ............................................................................. 130
3,58,concentration,Concentration ............................................................................. 130,Magnitude of the Risks Posed by Archegos’s Portfolio. .................... 130 | 1. | Concentration ............................................................................. 130 | 2. | Leverage ...................................................................................... 131
4,5,dynamic margin,Dynamic Margin ........................................................................ 134,Credit Limits .............................................................................. 134 | 3. | Dynamic Margin ........................................................................ 134 | 4. | Variation Margin....................................................................... 135
4,7,VaR,Variation Margin....................................................................... 135,Dynamic Margin ........................................................................ 134 | 4. | Variation Margin....................................................................... 135 | 5. | Additional Exposure .................................................................. 135
4,65,dynamic margin,CS Should Transition Clients to Dynamic Margining ........... 158,Limits .......................................................................................... 158 | 2. | CS Should Transition Clients to Dynamic Margining ........... 158
6,20,swap,"concentrated, volatile, and severely under-margined swap positions posed potentially","to rein in and, indeed, enabled Archegos’s voracious risk-taking. There were numerous | warning signals—including large, persistent limit breaches—indicating that Archegos’s | concentrated, volatile, and severely under-margined swap positions posed potentially | 1 | The Special Committee is comprised of two Group Board directors (Richard Meddings, Blythe Masters),"
7,24,portfolio,"portfolio with CS and with its other prime brokers across the Street dropped precipitously,","EXECUTIVE SUMMARY | During the week of March 22, 2021, the market value of Archegos’s | portfolio with CS and with its other prime brokers across the Street dropped precipitously, | largely driven by declines in certain single-name tech stocks—most notably"
8,6,VaR,"specifically, in Prime Services, a sub-unit of the Equities division that provides a variety","caused CS to suffer approximately $5.5 billion in losses. | These losses occurred in CS’s Investment Bank (“IB”) and, more | specifically, in Prime Services, a sub-unit of the Equities division that provides a variety | of products and services to hedge funds (as well as to family offices that operate like hedge | funds), including the financing of both cash and synthetic equity positions."
8,17,swap,2005 when it began trading equity swaps. Archegos was covered by (and conducted most,"most successful hedge funds of the 1990s. CS’s relationship with Tiger Asia and Hwang | began in 2003 with cash equities trading. Tiger Asia became a Prime Services client in | 2005 when it began trading equity swaps. Archegos was covered by (and conducted most | of its business with CS through) Prime Services in New York, consistent with CS’s regional | client coverage model. Tiger Asia employed long/short equity and long-only equity trading"
10,7,swap,"Prime Financing handled Archegos’s synthetic trading (i.e., derivatives, particularly swaps,","sub-units: Prime Brokerage and Prime Financing. In general, Prime Brokerage handled | Archegos’s cash trading (i.e., traditional securities financing, custody, and clearing) and | Prime Financing handled Archegos’s synthetic trading (i.e., derivatives, particularly swaps, | and other types of synthetic leveraged exposure). Both Prime Brokerage and Prime | Financing are intended to be low-risk businesses—counterparty risk should be assessed"
10,19,portfolio; stress,to the client. Among PSR’s mandates is running and reviewing portfolio-level stress loss,"the traders and clients to manage CS’s risk. As the in-business risk function, PSR is | responsible for setting margin rates and for communicating any necessary margin increases | to the client. Among PSR’s mandates is running and reviewing portfolio-level stress loss | scenarios and other analytics designed to flag concerning client exposures, and monitoring | the client portfolio to ensure that it does not exceed the risk limits prescribed by the second"
10,21,portfolio,the client portfolio to ensure that it does not exceed the risk limits prescribed by the second,"to the client. Among PSR’s mandates is running and reviewing portfolio-level stress loss | scenarios and other analytics designed to flag concerning client exposures, and monitoring | the client portfolio to ensure that it does not exceed the risk limits prescribed by the second | line of defense Risk Management function (“Risk”). | Credit Risk Management (“CRM”), a second line of defense Risk function"
11,7,portfolio; stress,stress scenario exposure associated with Archegos’s portfolio; these exposure limits were,"related counterparty trading limits that Prime Services was required to monitor to ensure | compliance. In particular, CRM set limits on the potential exposure (“PE”)4 as well as | stress scenario exposure associated with Archegos’s portfolio; these exposure limits were | risk management tools relied upon by both the Prime Services business and Risk to manage | Archegos’s counterparty credit risk."
11,20,concentration,"months to 3 years) value investing,” with concentrations in “financial services,","investment strategy was largely unchanged from its Tiger Asia days. Archegos employed | a “fundamental research-driven long/short equity strategy focused on long-term (18 | months to 3 years) value investing,” with concentrations in “financial services, | telecommunications and internet/media.” This proved to be a highly successful trading | strategy for many years and Archegos’s NAV grew steadily, from $500 million in 2012 to"
12,9,concentration,"procedures, operates off informal concentration guidelines, and does not use stop loss","procedures.” With respect to the risk management criticism, the credit reviews observed | that “Archegos does not operate with a formalized set of risk management policies and | procedures, operates off informal concentration guidelines, and does not use stop loss | limits.” These deficiencies notwithstanding, CRM’s internal credit rating for Archegos | improved several rungs between 2012 and 2016, from B- to BB-, in part due to its"
12,15,portfolio,Archegos’s Prime Brokerage portfolio was margined under CS’s Standard,"3. | Changes in the Relationship Between Archegos and CS | Archegos’s Prime Brokerage portfolio was margined under CS’s Standard | Margin Procedure, with dynamic margining to factor in changes to its portfolio | characteristics (volatility, concentration, bias, etc.). By contrast, Archegos’s swaps with"
12,16,dynamic margin; portfolio,"Margin Procedure, with dynamic margining to factor in changes to its portfolio","Changes in the Relationship Between Archegos and CS | Archegos’s Prime Brokerage portfolio was margined under CS’s Standard | Margin Procedure, with dynamic margining to factor in changes to its portfolio | characteristics (volatility, concentration, bias, etc.). By contrast, Archegos’s swaps with | Prime Financing were statically margined. This meant that initial margins were calculated"
12,17,concentration; swap; volatility,"characteristics (volatility, concentration, bias, etc.). By contrast, Archegos’s swaps with","Archegos’s Prime Brokerage portfolio was margined under CS’s Standard | Margin Procedure, with dynamic margining to factor in changes to its portfolio | characteristics (volatility, concentration, bias, etc.). By contrast, Archegos’s swaps with | Prime Financing were statically margined. This meant that initial margins were calculated | based on the notional value of the swap at inception and remained static in dollar terms"
12,18,initial margin,Prime Financing were statically margined. This meant that initial margins were calculated,"Margin Procedure, with dynamic margining to factor in changes to its portfolio | characteristics (volatility, concentration, bias, etc.). By contrast, Archegos’s swaps with | Prime Financing were statically margined. This meant that initial margins were calculated | based on the notional value of the swap at inception and remained static in dollar terms | over the life of the swap; thus, if the value of Archegos’s position increased, the initial"
12,19,swap,based on the notional value of the swap at inception and remained static in dollar terms,"characteristics (volatility, concentration, bias, etc.). By contrast, Archegos’s swaps with | Prime Financing were statically margined. This meant that initial margins were calculated | based on the notional value of the swap at inception and remained static in dollar terms | over the life of the swap; thus, if the value of Archegos’s position increased, the initial | margin as a percentage of the position being financed eroded (and Archegos’s leverage"
12,20,swap,"over the life of the swap; thus, if the value of Archegos’s position increased, the initial","Prime Financing were statically margined. This meant that initial margins were calculated | based on the notional value of the swap at inception and remained static in dollar terms | over the life of the swap; thus, if the value of Archegos’s position increased, the initial | margin as a percentage of the position being financed eroded (and Archegos’s leverage | with CS increased). This margin erosion was exacerbated by the specific form of swaps"
12,22,swap,with CS increased). This margin erosion was exacerbated by the specific form of swaps,"over the life of the swap; thus, if the value of Archegos’s position increased, the initial | margin as a percentage of the position being financed eroded (and Archegos’s leverage | with CS increased). This margin erosion was exacerbated by the specific form of swaps | that Archegos favored, so-called “bullet” swaps, which did not periodically reset to the | current market value (with a corresponding increase in margin) and had an average tenor"
12,23,swap,"that Archegos favored, so-called “bullet” swaps, which did not periodically reset to the","margin as a percentage of the position being financed eroded (and Archegos’s leverage | with CS increased). This margin erosion was exacerbated by the specific form of swaps | that Archegos favored, so-called “bullet” swaps, which did not periodically reset to the | current market value (with a corresponding increase in margin) and had an average tenor | of 24 months."
13,2,swap,CS’s financing of Archegos’s cash and swap positions significantly evolved,"8 | CS’s financing of Archegos’s cash and swap positions significantly evolved | over time. First, in 2017, changes in Archegos’s Prime Brokerage portfolio triggered an | automatic 10% directional bias add-on that would have required Archegos to post"
13,3,portfolio,"over time. First, in 2017, changes in Archegos’s Prime Brokerage portfolio triggered an","8 | CS’s financing of Archegos’s cash and swap positions significantly evolved | over time. First, in 2017, changes in Archegos’s Prime Brokerage portfolio triggered an | automatic 10% directional bias add-on that would have required Archegos to post | additional margin. Archegos asked to be excused from this requirement on the ground that"
13,4,add-?on,automatic 10% directional bias add-on that would have required Archegos to post,"CS’s financing of Archegos’s cash and swap positions significantly evolved | over time. First, in 2017, changes in Archegos’s Prime Brokerage portfolio triggered an | automatic 10% directional bias add-on that would have required Archegos to post | additional margin. Archegos asked to be excused from this requirement on the ground that | its short swaps portfolio in Prime Financing offset its long-biased Prime Brokerage"
13,6,portfolio; swap,its short swaps portfolio in Prime Financing offset its long-biased Prime Brokerage,"automatic 10% directional bias add-on that would have required Archegos to post | additional margin. Archegos asked to be excused from this requirement on the ground that | its short swaps portfolio in Prime Financing offset its long-biased Prime Brokerage | portfolio such that, if combined and netted, the portfolios would not have triggered the bias | add-on. CS agreed to forgo the additional margin and remove the bias add-on entirely from"
13,7,portfolio,"portfolio such that, if combined and netted, the portfolios would not have triggered the bias","additional margin. Archegos asked to be excused from this requirement on the ground that | its short swaps portfolio in Prime Financing offset its long-biased Prime Brokerage | portfolio such that, if combined and netted, the portfolios would not have triggered the bias | add-on. CS agreed to forgo the additional margin and remove the bias add-on entirely from | Archegos’s Prime Brokerage dynamic margining rules on the condition that Archegos’s"
13,8,add-?on,add-on. CS agreed to forgo the additional margin and remove the bias add-on entirely from,"its short swaps portfolio in Prime Financing offset its long-biased Prime Brokerage | portfolio such that, if combined and netted, the portfolios would not have triggered the bias | add-on. CS agreed to forgo the additional margin and remove the bias add-on entirely from | Archegos’s Prime Brokerage dynamic margining rules on the condition that Archegos’s | combined portfolio bias not exceed 75% either long or short. As a result, the business"
13,9,dynamic margin,Archegos’s Prime Brokerage dynamic margining rules on the condition that Archegos’s,"portfolio such that, if combined and netted, the portfolios would not have triggered the bias | add-on. CS agreed to forgo the additional margin and remove the bias add-on entirely from | Archegos’s Prime Brokerage dynamic margining rules on the condition that Archegos’s | combined portfolio bias not exceed 75% either long or short. As a result, the business | (PSR) instituted new, bespoke weekly monitoring of Archegos to track its portfolio bias."
13,10,portfolio,"combined portfolio bias not exceed 75% either long or short. As a result, the business","add-on. CS agreed to forgo the additional margin and remove the bias add-on entirely from | Archegos’s Prime Brokerage dynamic margining rules on the condition that Archegos’s | combined portfolio bias not exceed 75% either long or short. As a result, the business | (PSR) instituted new, bespoke weekly monitoring of Archegos to track its portfolio bias. | Over the next several years, Archegos would periodically exceed the 75% threshold. Each"
13,11,portfolio,"(PSR) instituted new, bespoke weekly monitoring of Archegos to track its portfolio bias.","Archegos’s Prime Brokerage dynamic margining rules on the condition that Archegos’s | combined portfolio bias not exceed 75% either long or short. As a result, the business | (PSR) instituted new, bespoke weekly monitoring of Archegos to track its portfolio bias. | Over the next several years, Archegos would periodically exceed the 75% threshold. Each | time, however, CS would grant Archegos a grace period—sometimes as long as five"
13,12,threshold,"Over the next several years, Archegos would periodically exceed the 75% threshold. Each","combined portfolio bias not exceed 75% either long or short. As a result, the business | (PSR) instituted new, bespoke weekly monitoring of Archegos to track its portfolio bias. | Over the next several years, Archegos would periodically exceed the 75% threshold. Each | time, however, CS would grant Archegos a grace period—sometimes as long as five | months—to try to get back below the 75% threshold. The business appears to have relied"
13,14,threshold,months—to try to get back below the 75% threshold. The business appears to have relied,"Over the next several years, Archegos would periodically exceed the 75% threshold. Each | time, however, CS would grant Archegos a grace period—sometimes as long as five | months—to try to get back below the 75% threshold. The business appears to have relied | on Archegos’s assurances that it would reduce the bias, and Archegos generally did, though | this dynamic repeated several times over the next few years, reflecting the business’s"
13,19,swap,"asked CS to materially lower its swap margins. Up until this time, Archegos had posted","accommodative approach to Archegos. | The second and more notable change occurred in 2019, when Archegos | asked CS to materially lower its swap margins. Up until this time, Archegos had posted | 15-25% initial margins on its swap positions with Prime Financing, while its margins on | its dynamically margined Prime Brokerage portfolio averaged between 15-18%."
13,20,initial margin; swap,"15-25% initial margins on its swap positions with Prime Financing, while its margins on","The second and more notable change occurred in 2019, when Archegos | asked CS to materially lower its swap margins. Up until this time, Archegos had posted | 15-25% initial margins on its swap positions with Prime Financing, while its margins on | its dynamically margined Prime Brokerage portfolio averaged between 15-18%. | Archegos’s swap positions, margined at an average of 20%, had never breached the PE"
13,21,portfolio,its dynamically margined Prime Brokerage portfolio averaged between 15-18%.,"asked CS to materially lower its swap margins. Up until this time, Archegos had posted | 15-25% initial margins on its swap positions with Prime Financing, while its margins on | its dynamically margined Prime Brokerage portfolio averaged between 15-18%. | Archegos’s swap positions, margined at an average of 20%, had never breached the PE | limits set by the bank. To make its case, Archegos argued that another prime broker offered"
13,22,swap,"Archegos’s swap positions, margined at an average of 20%, had never breached the PE","15-25% initial margins on its swap positions with Prime Financing, while its margins on | its dynamically margined Prime Brokerage portfolio averaged between 15-18%. | Archegos’s swap positions, margined at an average of 20%, had never breached the PE | limits set by the bank. To make its case, Archegos argued that another prime broker offered | lower margin rates and allowed Archegos to cross-margin its swaps and cash equities"
13,24,swap,lower margin rates and allowed Archegos to cross-margin its swaps and cash equities,"Archegos’s swap positions, margined at an average of 20%, had never breached the PE | limits set by the bank. To make its case, Archegos argued that another prime broker offered | lower margin rates and allowed Archegos to cross-margin its swaps and cash equities"
14,5,portfolio,"Financing portfolio and a long Prime Brokerage portfolio, and CS viewed the positions as","Archegos. | CS agreed to Archegos’s request. At the time, Archegos had a short Prime | Financing portfolio and a long Prime Brokerage portfolio, and CS viewed the positions as | at least partially offsetting. Under the new arrangement, CS reduced Archegos’s standard | swap margin rate to 7.5%, and Archegos agreed that CS could increase margins above that"
14,7,swap,"swap margin rate to 7.5%, and Archegos agreed that CS could increase margins above that","Financing portfolio and a long Prime Brokerage portfolio, and CS viewed the positions as | at least partially offsetting. Under the new arrangement, CS reduced Archegos’s standard | swap margin rate to 7.5%, and Archegos agreed that CS could increase margins above that | rate if Archegos’s holdings at CS in any given security ever exceeded a predetermined | threshold of the security’s average daily trading volume."
