page,chars,equation_lines,figure_captions,embedded_images,tables
1,115,0,0,0,0
2,2755,1,0,0,0
3,2902,2,0,0,0
4,3046,0,0,0,0
5,1689,4,0,0,0
6,2187,6,0,0,0
7,1854,2,0,0,0
8,1813,5,0,0,0
9,1743,4,0,0,0
10,1848,6,0,0,0
11,1969,5,0,0,0
12,1788,3,0,0,0
13,1908,6,0,0,0
14,1890,1,0,0,0
15,1811,7,0,0,0
16,1883,1,0,0,0
17,1913,1,0,0,0
18,1777,1,0,0,0
19,1932,2,0,0,0
20,1876,6,0,0,0
21,1881,3,0,0,0
22,1954,1,0,0,0
23,1870,2,0,0,0
24,1870,0,0,0,0
25,1936,5,0,0,0
26,1843,3,0,0,0
27,1908,1,0,0,0
28,1769,2,0,0,0
29,1875,9,0,0,0
30,1827,6,0,0,0
31,1845,4,0,0,0
32,1695,4,0,0,0
33,1796,3,0,0,0
34,1971,2,0,0,0
35,1806,4,0,0,0
36,1536,1,0,0,0
37,1727,1,0,0,0
38,2574,6,0,1,0
39,1363,2,0,2,0
40,1569,3,0,1,0
41,1991,7,0,1,0
42,1774,4,0,1,0
43,2371,2,0,1,0
44,1790,22,0,0,1
45,2040,2,0,1,0
46,1331,1,0,2,0
47,2322,5,0,1,0
48,2313,5,0,1,0
49,1795,5,0,1,0
50,2120,2,0,1,0
51,2181,9,0,1,0
52,1825,3,0,1,0
53,2219,1,0,1,0
54,2662,11,0,1,0
55,1742,3,0,1,0
56,2046,9,0,1,0
57,1708,3,0,1,0
58,1656,3,0,1,0
59,2372,4,0,1,0
60,1799,2,0,0,0
61,2646,6,0,0,0
62,2084,3,0,0,0
63,2335,4,0,1,0
64,1761,2,0,1,0
65,2303,5,0,0,0
66,1958,4,0,0,0
67,2063,2,0,0,0
68,2378,3,0,0,0
69,1882,5,0,0,0
70,2001,4,0,0,0
71,2195,9,0,1,0
72,1930,6,0,1,0
73,1991,1,0,0,0
74,2083,9,0,0,0
75,2581,6,0,0,0
76,2382,2,0,0,0
77,2070,3,0,0,0
78,1818,5,0,1,0
79,1957,7,0,0,0
80,1099,3,0,1,0
81,2079,4,0,0,0
82,1717,0,0,0,0
83,2499,1,0,0,0
84,1379,4,0,1,0
85,2615,18,0,0,0
86,2810,4,0,1,0
87,1969,1,0,1,0
88,1942,2,0,1,0
89,1398,1,0,1,0
90,1058,5,0,2,0
91,2090,5,0,1,0
92,1965,2,0,1,0
93,1875,4,0,1,0
94,1809,4,0,1,0
95,2004,2,0,1,0
96,2402,0,0,0,0
97,2540,3,0,0,0
98,1828,6,0,0,0
99,2282,9,0,0,0
100,1651,2,0,0,0
101,2037,2,0,0,0
102,1829,2,0,0,0
103,1873,4,0,0,0
104,1820,8,0,0,0
105,2332,4,0,0,0
106,1753,1,0,0,0
107,2471,8,0,0,0
108,1999,2,0,0,0
109,1578,2,0,1,0
110,2497,5,0,0,0
111,1831,8,0,0,0
112,1849,2,0,1,0
113,2082,2,0,0,0
114,2005,1,0,0,0
115,2388,3,0,0,0
116,2148,5,0,0,0
117,2158,1,0,0,0
118,2074,2,0,0,0
119,1825,1,0,0,0
120,2160,6,0,0,0
121,2014,4,0,0,0
122,1865,5,0,0,0
123,1969,9,0,0,0
124,1843,7,0,0,0
125,1793,2,0,0,0
126,1785,2,0,0,0
127,2673,0,0,0,0
128,1831,2,0,0,0
129,2283,3,0,0,0
130,1408,3,0,0,0
131,1227,1,0,1,0
132,1838,5,0,0,0
133,1966,3,0,0,0
134,1865,2,0,0,0
135,1875,4,0,0,0
136,1760,5,0,0,0
137,2237,4,0,0,0
138,1927,4,0,0,0
139,1817,0,0,0,0
140,1823,8,0,0,0
141,3311,1,0,0,0
142,2336,9,0,0,0
143,1857,3,0,0,0
144,1790,1,0,0,0
145,1863,2,0,0,0
146,1869,4,0,0,0
147,1924,5,0,0,0
148,2015,1,0,0,0
149,1774,4,0,0,0
150,2064,8,0,0,0
151,1768,4,0,0,0
152,1818,2,0,0,0
153,1735,2,0,0,0
154,1987,5,0,0,0
155,1799,3,0,0,0
156,1725,2,0,0,0
157,1937,0,0,0,0
158,1755,2,0,0,0
159,1772,4,0,0,0
160,1810,0,0,0,0
161,1774,8,0,0,0
162,1952,1,0,0,0
163,1801,2,0,0,0
164,1791,3,0,0,0
165,1854,1,0,0,0
166,1606,1,0,0,0
167,1859,1,0,0,0
168,2385,9,0,0,0
169,1862,3,0,0,0
170,1946,0,0,0,0
171,1071,2,0,0,3
172,979,7,0,0,3
